image,n_true,n_pred,pixel_iou,pixel_dice,precision,recall,f1,mean_matched_iou,tp,fp,fn,infer_ms
IXMtest_F22_s6_w1D6C33377-3947-4DAC-B62D-531C2565F150.tif,126,127,0.9359713660767548,0.9669268693508628,0.9763779527559056,0.9841269841269841,0.9802371541501976,0.9284559993467457,124,3,2,710.3943824768066
IXMtest_F22_s6_w1F4C7ADE4-B68D-4D30-A063-722B87AA2DA1.tif,150,146,0.8999220259687426,0.9473252203704364,1.0,0.9733333333333334,0.9864864864864865,0.8825164851875167,146,0,4,717.6148891448975
IXMtest_G01_s2_w1FBE52723-8BDF-4346-89BB-216A4A69ED1C.tif,90,87,0.9657270253929867,0.9825647334730205,0.9770114942528736,0.9444444444444444,0.96045197740113,0.9279689453053042,85,2,5,712.8031253814697
IXMtest_G05_s6_w1AA0013DE-ED7A-428E-A17A-09959E7DC1A2.tif,135,135,0.9505183043880846,0.9746315143515463,1.0,1.0,1.0,0.9318307624309402,135,0,0,719.3405628204346
IXMtest_G06_s3_w19ABE30DE-4BFC-4CD5-AD16-6C8BD6E69F9D.tif,165,163,0.9322163907953169,0.9649192453145568,0.9877300613496932,0.9757575757575757,0.9817073170731707,0.9173358428966975,161,2,4,715.5497074127197
IXMtest_G06_s7_w19444140C-EF22-42DE-863A-514D836BE850.tif,124,127,0.9414785007224139,0.9698572509271617,0.968503937007874,0.9919354838709677,0.9800796812749005,0.9275597405169612,123,4,1,717.5233364105225
IXMtest_G08_s6_w1823194BE-DE9A-4638-BACD-CABE5FA4C89C.tif,125,125,0.9328446002006118,0.9652556652550246,0.992,0.992,0.992,0.9246690004534565,124,1,1,725.2988815307617
IXMtest_G10_s3_w1C1257E17-1DBA-4619-B06E-D6DBB8A53088.tif,130,125,0.956083555162914,0.9775487888944353,0.984,0.9461538461538461,0.9647058823529412,0.9414007881643536,123,2,7,720.5865383148193
IXMtest_G12_s6_w16850371E-A405-4D73-9816-F5F68F885D38.tif,154,148,0.9504178796131092,0.9745787193066924,1.0,0.961038961038961,0.9801324503311257,0.9412406447331094,148,0,6,718.5697555541992
IXMtest_G13_s9_w19606195E-12B4-46FF-9B83-1F7FE11B3AFB.tif,70,70,0.9433290433290433,0.9708382083489702,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9319710514919994,69,1,1,709.3210220336914
